dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
02/03/2021,2,3,2021,1111,0,Estonia,EE,EST,1328976,Europe
03/03/2021,3,3,2021,1454,17,Estonia,EE,EST,1328976,Europe
04/03/2021,4,3,2021,1417,8,Estonia,EE,EST,1328976,Europe
05/03/2021,5,3,2021,1534,14,Estonia,EE,EST,1328976,Europe
06/03/2021,6,3,2021,1540,7,Estonia,EE,EST,1328976,Europe
07/03/2021,7,3,2021,1319,9,Estonia,EE,EST,1328976,Europe
08/03/2021,8,3,2021,1180,14,Estonia,EE,EST,1328976,Europe
09/03/2021,9,3,2021,1308,2,Estonia,EE,EST,1328976,Europe
10/03/2021,10,3,2021,1482,8,Estonia,EE,EST,1328976,Europe
11/03/2021,11,3,2021,1956,9,Estonia,EE,EST,1328976,Europe
12/03/2021,12,3,2021,1357,0,Estonia,EE,EST,1328976,Europe
13/03/2021,13,3,2021,1586,24,Estonia,EE,EST,1328976,Europe
14/03/2021,14,3,2021,935,9,Estonia,EE,EST,1328976,Europe
15/03/2021,15,3,2021,1279,9,Estonia,EE,EST,1328976,Europe
16/03/2021,16,3,2021,1462,11,Estonia,EE,EST,1328976,Europe
17/03/2021,17,3,2021,1783,6,Estonia,EE,EST,1328976,Europe
18/03/2021,18,3,2021,1700,13,Estonia,EE,EST,1328976,Europe
19/03/2021,19,3,2021,1749,11,Estonia,EE,EST,1328976,Europe
20/03/2021,20,3,2021,1248,11,Estonia,EE,EST,1328976,Europe
21/03/2021,21,3,2021,1373,7,Estonia,EE,EST,1328976,Europe
22/03/2021,22,3,2021,993,10,Estonia,EE,EST,1328976,Europe
23/03/2021,23,3,2021,1062,12,Estonia,EE,EST,1328976,Europe
24/03/2021,24,3,2021,1552,14,Estonia,EE,EST,1328976,Europe
25/03/2021,25,3,2021,1429,13,Estonia,EE,EST,1328976,Europe
26/03/2021,26,3,2021,1150,11,Estonia,EE,EST,1328976,Europe
27/03/2021,27,3,2021,1151,13,Estonia,EE,EST,1328976,Europe
28/03/2021,28,3,2021,892,0,Estonia,EE,EST,1328976,Europe
29/03/2021,29,3,2021,584,19,Estonia,EE,EST,1328976,Europe
30/03/2021,30,3,2021,1202,17,Estonia,EE,EST,1328976,Europe
31/03/2021,31,3,2021,1008,6,Estonia,EE,EST,1328976,Europe
01/04/2021,1,4,2021,829,6,Estonia,EE,EST,1328976,Europe
02/04/2021,2,4,2021,1165,14,Estonia,EE,EST,1328976,Europe
03/04/2021,3,4,2021,519,9,Estonia,EE,EST,1328976,Europe
04/04/2021,4,4,2021,462,10,Estonia,EE,EST,1328976,Europe
05/04/2021,5,4,2021,382,9,Estonia,EE,EST,1328976,Europe
06/04/2021,6,4,2021,899,14,Estonia,EE,EST,1328976,Europe
07/04/2021,7,4,2021,984,12,Estonia,EE,EST,1328976,Europe
08/04/2021,8,4,2021,757,14,Estonia,EE,EST,1328976,Europe
09/04/2021,9,4,2021,677,16,Estonia,EE,EST,1328976,Europe
10/04/2021,10,4,2021,638,14,Estonia,EE,EST,1328976,Europe
11/04/2021,11,4,2021,438,0,Estonia,EE,EST,1328976,Europe
12/04/2021,12,4,2021,269,17,Estonia,EE,EST,1328976,Europe
13/04/2021,13,4,2021,637,0,Estonia,EE,EST,1328976,Europe
14/04/2021,14,4,2021,549,12,Estonia,EE,EST,1328976,Europe
15/04/2021,15,4,2021,571,8,Estonia,EE,EST,1328976,Europe
16/04/2021,16,4,2021,478,7,Estonia,EE,EST,1328976,Europe
17/04/2021,17,4,2021,333,18,Estonia,EE,EST,1328976,Europe
18/04/2021,18,4,2021,543,10,Estonia,EE,EST,1328976,Europe
19/04/2021,19,4,2021,228,8,Estonia,EE,EST,1328976,Europe
20/04/2021,20,4,2021,535,4,Estonia,EE,EST,1328976,Europe
21/04/2021,21,4,2021,472,5,Estonia,EE,EST,1328976,Europe
