number,name,height_cm
16,Abraham Lincoln,193
36,Lyndon B. Johnson,192
45,Donald J. Trump,191
3,Thomas Jefferson,189
1,George Washington,188
21,Chester A. Arthur,188
32,Franklin D. Roosevelt,188
41,George H. W. Bush,188
42,Bill Clinton,188
7,Andrew Jackson,185
35,John F. Kennedy,185
40,Ronald Reagan,185
44,Barack Obama,185
5,James Monroe,183
10,John Tyler,183
15,James Buchanan,183
20,James A. Garfield,183
29,Warren G. Harding,183
38,Gerald R. Ford,183
27,William H. Taft,182
31,Herbert Hoover,182
37,Richard M. Nixon,182
43,George W. Bush,182
46,Joe Biden,182
22,Grover Cleveland,180
24,Grover Cleveland,180
28,Woodrow Wilson,180
34,Dwight D. Eisenhower,179
14,Franklin Pierce,178
17,Andrew Johnson,178
26,Theodore Roosevelt,178
30,Calvin Coolidge,178
39,Jimmy Carter,177
13,Millard Fillmore,175
33,Harry S. Truman,175
19,Rutherford B. Hayes,174
9,William Henry Harrison,173
11,James K. Polk,173
12,Zachary Taylor,173
18,Ulysses S. Grant,173
6,John Quincy Adams,171
2,John Adams,170
25,William McKinley,170
8,Martin Van Buren,168
23,Benjamin Harrison,168
4,James Madison,163
