Rank	#	President	Height (in)	Height (cm)
1	16	Abraham Lincoln	6 ft 4 in	193 cm
2	36	Lyndon B. Johnson	6 ft 3.5 in	192 cm
3	45	Donald J. Trump	6 ft 3 in	191 cm
4	3	Thomas Jefferson	6 ft 2.5 in	189 cm
5	1	George Washington	6 ft 2 in	188 cm
5	21	Chester A. Arthur	6 ft 2 in	188 cm
5	32	Franklin D. Roosevelt	6 ft 2 in	188 cm
5	41	George H. W. Bush	6 ft 2 in	188 cm
5	42	Bill Clinton	6 ft 2 in	188 cm
10	7	Andrew Jackson	6 ft 1 in	185 cm
10	35	John F. Kennedy	6 ft 1 in	185 cm
10	40	Ronald Reagan	6 ft 1 in	185 cm
10	44	Barack Obama	6 ft 1 in	185 cm
14	5	James Monroe	6 ft 0 in	183 cm
14	10	John Tyler	6 ft 0 in	183 cm
14	15	James Buchanan	6 ft 0 in	183 cm
14	20	James A. Garfield	6 ft 0 in	183 cm
14	29	Warren G. Harding	6 ft 0 in	183 cm
14	38	Gerald R. Ford	6 ft 0 in	183 cm
20	27	William H. Taft	5 ft 11.5 in	182 cm
20	31	Herbert Hoover	5 ft 11.5 in	182 cm
20	37	Richard M. Nixon	5 ft 11.5 in	182 cm
20	43	George W. Bush	5 ft 11.5 in	182 cm
20	46	Joe Biden	5 ft 11.5 in	182 cm
25	22 & 24	Grover Cleveland	5 ft 11 in	180 cm
25	28	Woodrow Wilson	5 ft 11 in	180 cm
27	34	Dwight D. Eisenhower	5 ft 10.5 in	179 cm
28	14	Franklin Pierce	5 ft 10 in	178 cm
28	17	Andrew Johnson	5 ft 10 in	178 cm
28	26	Theodore Roosevelt	5 ft 10 in	178 cm
28	30	Calvin Coolidge	5 ft 10 in	178 cm
32	39	Jimmy Carter	5 ft 9.5 in	177 cm
33	13	Millard Fillmore	5 ft 9 in	175 cm
33	33	Harry S. Truman	5 ft 9 in	175 cm
35	19	Rutherford B. Hayes	5 ft 8.5 in	174 cm
36	9	William Henry Harrison	5 ft 8 in	173 cm
36	11	James K. Polk	5 ft 8 in	173 cm
36	12	Zachary Taylor	5 ft 8 in	173 cm
36	18	Ulysses S. Grant	5 ft 8 in	173 cm
40	6	John Quincy Adams	5 ft 7.5 in	171 cm
41	2	John Adams	5 ft 7 in	170 cm
41	25	William McKinley	5 ft 7 in	170 cm
43	8	Martin Van Buren	5 ft 6 in	168 cm
43	23	Benjamin Harrison	5 ft 6 in	168 cm
45	4	James Madison	5 ft 4 in	163 cm
